agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color
RTP,546,TUB Bondy - La mare à la Veuve (circulaire) (Transport Urbain Bondynois),,3,,8d653a
RTP,559,Ligne Bleue - Chemin de L'Île - Cimetière du Mont Valérien (réseau urbain de Nanterre),,3,,87d3df
RTP,56,Porte de Clignancourt - Château de Vincennes,,3,,bb4b9c
RTP,560,Ligne Rouge - Place de la Boule-Gambetta - Droits de l'Homme (réseau urbain de Nanterre),,3,,ed1b2a
RTP,562,V4 - Arcueil Hôtel de Ville-Centre - Arcueil Hôtel de Ville-Centre (circulaire),,3,,FFFFFF
RTP,563,Suresnes De Gaulle - Suresnes De Gaulle (circulaire) [circuit du Plateau du Mont Valérien],,3,,ed1b2a
RTP,564,Rueil-Malmaison Collège La Malmaison - Rueil-Malmaison Les Pince-Vins [circuit de la Jonchère],,3,,006cb8
RTP,565,Rueil-Malmaison Mairie - Rueil-Malmaison Eglise de Buzenval,,3,,008b5a
RTP,566,Colombes Rue de l'Industrie - Colombes Rue de l'Industrie (circulaire),,3,,f68f4b
RTP,57,Porte de Bagnolet Louis Ganne - Laplace,,3,,9c983a
RTP,571,SUBB - Hotel de Ville de Boulogne-Billancourt - Pont de Boulogne-Billancourt (circulaire) (Service,,3,,8d653a
RTP,572,MONAST (SEVRES-VILLE D'AVRAY - GARE SNCF RD <-> MONASTERE) - Aller,,3,,c9a2cd
RTP,574,TUC - Rue Martre-Mairie de Clichy(circulaire) (Transport Urbain de Clichy),,3,,ffd710
RTP,576,La Navette - Hôtel de Ville de Neuilly — Hôtel de Ville de Neuilly (circulaire) (service urbain de,,3,,008b5a
RTP,577,Gabriel Péri - River Plaza - Les Grésillons,,3,,f68f4b
RTP,579,Clamibus - Maison de Quartier André Charré - Gare de Clamart (Service urbain de Clamart),,3,,ffcd01
RTP,58,Châtelet - Vanves Lycée Michelet,,3,,008b5a
RTP,581,V3 - Cachan Centre ville - Cachan Centre ville (circulaire),,3,,FFFFFF
RTP,583,V2 - Fresnes Pasteur - L'Haÿ-les-Roses Centre commercial - Chevilly-Larue Rue Paul Hochart,,3,,FFFFFF
RTP,584,V5 - Gentilly Gabriel Péri Soleil Levant - Gentilly Gabriel Péri Soleil Levant (circulaire),,3,,FFFFFF
RTP,585,V7 - Villejuif Louis Aragon - Villejuif Louis Aragon (circulaire) [Passepartout],,3,,FFFFFF
RTP,587,NAVETTE (FERME DE GRIGNON <-> LA GALAISE) - Aller,,3,,FFFFFF
RTP,593,V6 - Le Kremlin-Bicêtre Leclerc-Thomas - Le Kremlin-Bicêtre Leclerc-Thomas (circulaire),,3,,FFFFFF
RTP,594,Le petit fontenaisien - Division Leclerc via Gare RER et Les Blagis (Circulaire)(Service urbain de,,3,,006cb8
RTP,595,Robinson - Le Plessis-Robinson La Boursidière,,3,,006cb8
RTP,597,L'Hirondelle - Hôtel de Ville - Cimetière intercommunal de Clamart  / Gare de Vanves - Malakoff (Na,,3,,77c695
RTP,6,Nation - Charles de Gaulle-Etoile,,1,,79BB92
RTP,60,Gambetta - Porte de Montmartre,,3,,ed1b2a
RTP,61,Gare d'Austerlitz - Eglise de Pantin,,3,,008b5a
RTP,62,Bibliothèque François Mitterrand - Porte de St-Cloud,,3,,8d653a
RTP,63,Gare de Lyon - Porte de la Muette,,3,,cec92a
RTP,64,Gambetta - Place d'Italie,,3,,77c695
RTP,65,Gare de Lyon - Mairie d'Aubervilliers,,3,,008b5a
RTP,66,Opéra - Clichy Victor Hugo,,3,,008b5a
RTP,67,Pigalle - Châtelet-Hôtel de Ville - Stade Charléty,,3,,ea7c9a
